"IMBD_id","IMBD_name","IMBD_rate","IMBD_genre","IMBD_detail","IMBD_year","IMBD_time","IMBD_votes","IMBD_rating","IMBD_cast","IMBD_type","IMBD_country"
"326.","Treadstone","7.0","Action","The Treadstone project, having created super spy Jason Bourne, turns its attention on a new protocol to develop unstoppable superhuman assassins.","(2019)","44 min","7,383","Action","Stars: Jeremy Irvine, Tracy Ifeachor, Omar Metwally, Hyo-joo Han","","Language: English"
"327.","The Purge","6.4","Action, Drama, Horror","Set in an altered United States, several unrelated people discover how far they will go to survive a night where all crime is legal for 12 hours.","(2018–2019)","42 min","11,899","Action, Drama, Horror","Stars: Gabriel Chavarria, Derek Luke, Hannah Emily Anderson, Max Martini","TV Series (2018–2019)","Language: English | Spanish | French"
"328.","The Maze Runner","6.8","Action, Mystery, Sci-Fi","Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.","(2014)","113 min","411,475","Action, Mystery, Sci-Fi","Director: Wes Ball | Stars: Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster","19 September 2014 (USA)","Country: USA | UK"
"329.","The Eternals","","Action, Adventure, Drama","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","(2021)","","","Action, Adventure, Drama","Director: Chloé Zhao | Stars: Angelina Jolie, Gemma Chan, Richard Madden, Salma Hayek","5 November 2021 (USA)","Language: English"
"330.","Avatar 2","","Action, Adventure, Fantasy","A sequel to Avatar (2009).","(2022)","","","Action, Adventure, Fantasy","Director: James Cameron | Stars: Zoe Saldana, Vin Diesel, Kate Winslet, Sigourney Weaver","16 December 2022 (USA)","Language: English"
"331.","Cut Throat City","4.4","Action, Crime, Drama","Set after Hurricane Katrina, four boyhood friends out of options reluctantly accept an offer to pull off a dangerous heist in the heart of New Orleans.","(2020)","123 min","605","Action, Crime, Drama","Director: RZA | Stars: Shameik Moore, Demetrius Shipp Jr., Denzel Whitaker, Keean Johnson","21 August 2020 (USA)","Country: USA"
"332.","Sherlock Holmes","7.6","Action, Adventure, Mystery","Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.","(2009)","128 min","577,213","Action, Adventure, Mystery","Director: Guy Ritchie | Stars: Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong","25 December 2009 (USA)","Country: USA | Germany | UK | Australia"
"333.","Morbius","","Action, Adventure, Drama","Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.","(2021)","","","Action, Adventure, Drama","Director: Daniel Espinosa | Stars: Michael Keaton, Jared Leto, Adria Arjona, Matt Smith","19 March 2021 (USA)","Country: USA"
"334.","Upgrade","7.5","Action, Sci-Fi, Thriller","Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.","(2018)","100 min","153,177","Action, Sci-Fi, Thriller","Director: Leigh Whannell | Stars: Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden","1 June 2018 (USA)","Country: USA | Australia"
"335.","Armageddon","6.7","Action, Adventure, Sci-Fi","After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet.","(1998)","151 min","391,956","Action, Adventure, Sci-Fi","Director: Michael Bay | Stars: Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler","1 July 1998 (USA)","Language: English | Russian | Indonesian"
"336.","The Bourne Identity","7.9","Action, Mystery, Thriller","A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.","(2002)","119 min","502,123","Action, Mystery, Thriller","Director: Doug Liman | Stars: Franka Potente, Matt Damon, Chris Cooper, Clive Owen","14 June 2002 (USA)","Country: USA | Germany | Czech Republic | France"
"337.","Quantum of Solace","6.6","Action, Adventure, Thriller","James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.","(2008)","106 min","400,584","Action, Adventure, Thriller","Director: Marc Forster | Stars: Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench","14 November 2008 (USA)","Country: UK | USA"
"338.","Predator","7.8","Action, Adventure, Sci-Fi","A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.","(1987)","107 min","366,956","Action, Adventure, Sci-Fi","Director: John McTiernan | Stars: Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo","12 June 1987 (USA)","Country: USA | Mexico"
"339.","The Equalizer","7.2","Action, Crime, Thriller","A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life, before he meets a young girl under the control of ultra-violent Russian gangsters and can't stand idly by.","(2014)","132 min","328,289","Action, Crime, Thriller","Director: Antoine Fuqua | Stars: Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour","26 September 2014 (USA)","Country: USA"
"340.","Point Break","7.3","Action, Crime, Thriller","An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.","(1991)","122 min","155,144","Action, Crime, Thriller","Director: Kathryn Bigelow | Stars: Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty","12 July 1991 (USA)","Language: English"
"341.","CSI: Miami","6.4","Action, Crime, Drama","The cases of the Miami-Dade, Florida police department's Crime Scene Investigations unit.","(2002–2012)","43 min","52,560","Action, Crime, Drama","Stars: David Caruso, Emily Procter, Adam Rodriguez, Rex Linn","TV Series (2002–2012)","Country: USA"
"342.","Star Wars: Episode VIII - The Last Jedi","7.0","Action, Adventure, Fantasy","Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order.","(2017)","152 min","552,742","Action, Adventure, Fantasy","Director: Rian Johnson | Stars: Daisy Ridley, John Boyega, Mark Hamill, Carrie Fisher","15 December 2017 (USA)","Country: USA"
"343.","Kingsman: The Golden Circle","6.7","Action, Adventure, Comedy","After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organisation in the United States is discovered. These two elite secret organisations must band together to defeat a common enemy.","(2017)","141 min","266,940","Action, Adventure, Comedy","Director: Matthew Vaughn | Stars: Taron Egerton, Colin Firth, Mark Strong, Channing Tatum","22 September 2017 (USA)","Country: UK | USA"
"344.","Star Trek Beyond","7.1","Action, Adventure, Sci-Fi","The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.","(2016)","122 min","224,903","Action, Adventure, Sci-Fi","Director: Justin Lin | Stars: Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana","22 July 2016 (USA)","Country: USA | China | United Arab Emirates | Canada"
"345.","Into the Badlands","8.0","Action, Adventure, Drama","A mighty warrior and a young boy search for enlightenment in a ruthless territory controlled by feudal barons.","(2015–2019)","42 min","40,324","Action, Adventure, Drama","Stars: Daniel Wu, Orla Brady, Emily Beecham, Aramis Knight","TV Series (2015–2019)","Country: USA"
"346.","Batwoman","3.6","Action, Adventure, Crime","Kate Kane seeks justice for Gotham City as Batwoman.","(2019– )","45 min","28,762","Action, Adventure, Crime","Stars: Camrus Johnson, Ruby Rose, Rachel Skarsten, Meagan Tandy","TV Series (2019– )","Country: USA"
"347.","The Rhythm Section","5.2","Action, Drama, Mystery","A woman seeks revenge against those who orchestrated a plane crash that killed her family.","(2020)","109 min","9,853","Action, Drama, Mystery","Director: Reed Morano | Stars: Blake Lively, Richard Brake, Elly Curtis, David Duggan","31 January 2020 (USA)","Country: UK | USA | Spain"
"348.","Vampires","6.2","Action, Horror, Thriller","Recovering from an ambush that killed his entire team, a vengeful vampire slayer must retrieve an ancient Catholic relic that, should it be acquired by vampires, will allow them to walk in sunlight.","(1998)","108 min","52,690","Action, Horror, Thriller","Director: John Carpenter | Stars: James Woods, Daniel Baldwin, Sheryl Lee, Thomas Ian Griffith","30 October 1998 (USA)","Language: English | Latin"
"349.","Starship Troopers","7.2","Action, Adventure, Sci-Fi","Humans in a fascist, militaristic future wage war with giant alien bugs.","(1997)","129 min","266,392","Action, Adventure, Sci-Fi","Director: Paul Verhoeven | Stars: Casper Van Dien, Denise Richards, Dina Meyer, Jake Busey","7 November 1997 (USA)","Country: USA"
"350.","Star Wars: Episode V - The Empire Strikes Back","8.7","Action, Adventure, Fantasy","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.","(1980)","124 min","1,140,966","Action, Adventure, Fantasy","Director: Irvin Kershner | Stars: Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","20 June 1980 (USA)","Country: USA"
"351.","Kill Bill: Vol. 1","8.1","Action, Crime, Thriller","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","(2003)","111 min","985,368","Action, Crime, Thriller","Director: Quentin Tarantino | Stars: Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen","10 October 2003 (USA)","Country: USA | Japan"
"352.","The Karate Kid Part II","6.1","Action, Family, Sport","Daniel accompanies his mentor, Mr. Miyagi, to Miyagi's childhood home in Okinawa. Miyagi visits his dying father and confronts his old rival, while Daniel falls in love and inadvertently makes a new rival of his own.","(1986)","113 min","74,150","Action, Family, Sport","Director: John G. Avildsen | Stars: Pat Morita, Ralph Macchio, Pat E. Johnson, Bruce Malmuth","20 June 1986 (USA)","Language: English"
"353.","Raiders of the Lost Ark","8.4","Action, Adventure","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.","(1981)","115 min","871,858","Action, Adventure","Director: Steven Spielberg | Stars: Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies","","Country: USA"
"354.","JoJo's Bizarre Adventure","8.4","Animation, Action, Adventure","The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives.","(2012– )","30 min","8,458","Animation, Action, Adventure","Stars: Matthew Mercer, Daisuke Ono, Fuminori Komatsu, Unshô Ishizuka","TV Series (2012– )","Country: Japan"
"355.","The Mummy","5.4","Action, Adventure, Fantasy","An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.","(2017)","110 min","170,478","Action, Adventure, Fantasy","Director: Alex Kurtzman | Stars: Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe","9 June 2017 (USA)","Country: USA | China | Japan"
"356.","Fullmetal Alchemist: Brotherhood","9.1","Animation, Action, Adventure","Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.","(2009–2012)","24 min","111,981","Animation, Action, Adventure","Stars: Kent Williams, Iemasa Kayumi, Vic Mignogna, Muriel Hofmann","TV Series (2009–2012)","Country: Japan"
"357.","Spenser Confidential","6.2","Action, Comedy, Crime","When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate, Hawk, to take down criminals.","(2020)","111 min","64,009","Action, Comedy, Crime","Director: Peter Berg | Stars: Mark Wahlberg, Winston Duke, Alan Arkin, Iliza Shlesinger","6 March 2020 (USA)","Country: USA"
"358.","Star Wars: Episode VII - The Force Awakens","7.9","Action, Adventure, Sci-Fi","As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","(2015)","138 min","849,703","Action, Adventure, Sci-Fi","Director: J.J. Abrams | Stars: Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson","18 December 2015 (USA)","Country: USA"
"359.","Only the Brave","7.6","Action, Biography, Drama","Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.","(2017)","134 min","56,143","Action, Biography, Drama","Director: Joseph Kosinski | Stars: Josh Brolin, Miles Teller, Jeff Bridges, Jennifer Connelly","20 October 2017 (USA)","Country: USA"
"360.","Kick-Ass 2","6.5","Action, Comedy, Crime","Following Kick-Ass' heroics, other citizens are inspired to become masked crusaders. But Red Mist leads his own group of evil supervillains to get revenge, kill Kick-Ass and destroy everything he stands for.","(2013)","103 min","252,346","Action, Comedy, Crime","Director: Jeff Wadlow | Stars: Aaron Taylor-Johnson, Chloë Grace Moretz, Christopher Mintz-Plasse, Jim Carrey","16 August 2013 (USA)","Country: UK | USA | Japan"
"361.","The Island","6.8","Action, Sci-Fi, Thriller","A man living in a futuristic sterile colony begins to question his circumscribed existence when his friend is chosen to go to the Island, the last uncontaminated place on earth.","(2005)","136 min","298,427","Action, Sci-Fi, Thriller","Director: Michael Bay | Stars: Scarlett Johansson, Ewan McGregor, Djimon Hounsou, Steve Buscemi","22 July 2005 (USA)","Country: USA"
"362.","G.I. Joe: The Rise of Cobra","5.8","Action, Adventure, Sci-Fi","An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer.","(2009)","118 min","197,678","Action, Adventure, Sci-Fi","Director: Stephen Sommers | Stars: Dennis Quaid, Channing Tatum, Marlon Wayans, Adewale Akinnuoye-Agbaje","7 August 2009 (USA)","Country: USA | Czech Republic"
"363.","Welcome to Sudden Death","4.3","Action, Drama, Thriller","Sequel to the 1995 Jean-Claude Van Damme action flick.","(2020 Video)","81 min","920","Action, Drama, Thriller","Director: Dallas Jackson | Stars: Michael Jai White, Michael Eklund, Sabryn Rock, Nakai Takawira","Video 29 September 2020","Language: English"
"364.","Iron Fist","6.5","Action, Adventure, Crime","A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.","(2017–2018)","55 min","112,291","Action, Adventure, Crime","Stars: Finn Jones, Jessica Henwick, Jessica Stroup, Tom Pelphrey","TV Series (2017–2018)","Country: USA"
"365.","Fury","7.6","Action, Drama, War","A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.","(2014)","134 min","418,697","Action, Drama, War","Director: David Ayer | Stars: Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña","17 October 2014 (USA)","Country: USA | China | UK"
"366.","The Predator","5.3","Action, Adventure, Sci-Fi","When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.","(2018)","107 min","114,213","Action, Adventure, Sci-Fi","Director: Shane Black | Stars: Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key","14 September 2018 (USA)","Country: USA | Canada"
"367.","Shooter","7.5","Action, Drama","A conspiracy thriller that follows the journey of Bob Lee Swagger, a highly-decorated veteran who is coaxed back into action to prevent a plot to kill the President.","(2016–2018)","60 min","30,374","Action, Drama","Stars: Ryan Phillippe, Shantel VanSanten, Cynthia Addai-Robinson, Omar Epps","","Country: USA"
"368.","Burn Notice","7.9","Action, Crime, Drama","A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble.","(2007–2013)","44 min","67,350","Action, Crime, Drama","Stars: Jeffrey Donovan, Gabrielle Anwar, Bruce Campbell, Sharon Gless","TV Series (2007–2013)","Country: USA"
"369.","Hellboy","5.2","Action, Adventure, Fantasy","Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.","(2019)","120 min","75,964","Action, Adventure, Fantasy","Director: Neil Marshall | Stars: David Harbour, Milla Jovovich, Ian McShane, Sasha Lane","12 April 2019 (USA)","Country: USA | UK | Bulgaria | Canada | Portugal | France"
"370.","Legion","8.3","Action, Drama, Sci-Fi","David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter, he discovers special powers that will change his life forever.","(2017–2019)","60 min","81,166","Action, Drama, Sci-Fi","Stars: Dan Stevens, Rachel Keller, Aubrey Plaza, Bill Irwin","TV Series (2017–2019)","Country: USA"
"371.","The Fast and the Furious: Tokyo Drift","6.0","Action, Crime, Thriller","A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.","(2006)","104 min","238,374","Action, Crime, Thriller","Director: Justin Lin | Stars: Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette","16 June 2006 (USA)","Country: USA | Germany | Japan"
"372.","From Dusk Till Dawn","7.2","Action, Crime, Horror","Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","(1996)","108 min","283,239","Action, Crime, Horror","Director: Robert Rodriguez | Stars: Harvey Keitel, George Clooney, Juliette Lewis, Quentin Tarantino","19 January 1996 (USA)","Country: USA | Mexico"
"373.","Warrior","8.2","Action, Drama, Sport","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","(2011)","140 min","430,506","Action, Drama, Sport","Director: Gavin O'Connor | Stars: Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison","9 September 2011 (USA)","Country: USA"
"374.","Reign of Fire","6.2","Action, Adventure, Fantasy","A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet.","(2002)","101 min","125,228","Action, Adventure, Fantasy","Director: Rob Bowman | Stars: Matthew McConaughey, Christian Bale, Izabella Scorupco, Gerard Butler","12 July 2002 (USA)","Language: English"
"375.","Free State of Jones","6.9","Action, Biography, Drama","A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government.","(2016)","139 min","50,827","Action, Biography, Drama","Director: Gary Ross | Stars: Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell","24 June 2016 (USA)","Country: USA"
"376.","Naruto","8.3","Animation, Action, Adventure","Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.","(2002–2007)","24 min","66,560","Animation, Action, Adventure","Stars: Junko Takeuchi, Maile Flanagan, Kate Higgins, Chie Nakamura","TV Series (2002–2007)","Country: Japan"
"377.","Evil Dead II","7.8","Action, Comedy, Fantasy","The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.","(1987)","84 min","146,427","Action, Comedy, Fantasy","Director: Sam Raimi | Stars: Bruce Campbell, Sarah Berry, Dan Hicks, Kassie Wesley DePaiva","13 March 1987 (USA)","Country: USA"
