"IMBD_id","IMBD_name","IMBD_rate","IMBD_genre","IMBD_detail","IMBD_year","IMBD_time","IMBD_votes","IMBD_rating","IMBD_cast","IMBD_type","IMBD_country"
"301.","Stargirl","7.3","Action, Adventure, Crime","Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics.","(2020– )","45 min","8,155","Action, Adventure, Crime","Stars: Brec Bassinger, Yvette Monreal, Anjelika Washington, Trae Romano","TV Series (2020– )","Country: USA"
"302.","Unbroken","7.2","Action, Biography, Drama","After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.","(I) (2014)","137 min","145,893","Action, Biography, Drama","Director: Angelina Jolie | Stars: Jack O'Connell, Miyavi, Domhnall Gleeson, Garrett Hedlund","25 December 2014 (USA)","Country: USA"
"303.","Star Wars Rebels","8.0","Animation, Action, Adventure","A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.","(2014–2018)","22 min","27,591","Animation, Action, Adventure","Stars: Taylor Gray, Dave Filoni, Vanessa Marshall, Freddie Prinze Jr.","TV Series (2014–2018)","Country: USA"
"304.","Spectre","6.8","Action, Adventure, Thriller","A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.","(I) (2015)","148 min","379,020","Action, Adventure, Thriller","Director: Sam Mendes | Stars: Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes","6 November 2015 (USA)","Country: UK | USA | Austria | Mexico | Italy | Morocco"
"305.","Mortal Kombat","","Action, Adventure, Fantasy","Feature film based on the popular video game.","(2021)","","","Action, Adventure, Fantasy","Director: Simon McQuoid | Stars: Jessica McNamee, Hiroyuki Sanada, Joe Taslim, Tadanobu Asano","15 January 2021 (USA)","Country: Australia | USA"
"306.","Jurassic World","7.0","Action, Adventure, Sci-Fi","A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.","(2015)","124 min","572,792","Action, Adventure, Sci-Fi","Director: Colin Trevorrow | Stars: Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer","12 June 2015 (USA)","Country: USA"
"307.","X-Men: Dark Phoenix","5.8","Action, Adventure, Sci-Fi","Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.","(2019)","113 min","149,625","Action, Adventure, Sci-Fi","Director: Simon Kinberg | Stars: James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult","7 June 2019 (USA)","Country: USA | Canada"
"308.","X-Men Origins: Wolverine","6.6","Action, Adventure, Sci-Fi","The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.","(2009)","107 min","462,278","Action, Adventure, Sci-Fi","Director: Gavin Hood | Stars: Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston","1 May 2009 (USA)","Country: USA | UK"
"309.","Freddy vs. Jason","5.7","Action, Horror","Freddy Krueger and Jason Voorhees return to terrorize the teenage population. Except this time, they're out to get each other, too.","(2003)","97 min","109,780","Action, Horror","Director: Ronny Yu | Stars: Robert Englund, Ken Kirzinger, Kelly Rowland, Monica Keena","","Language: English"
"310.","Captain America: Civil War","7.8","Action, Adventure, Sci-Fi","Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.","(2016)","147 min","650,808","Action, Adventure, Sci-Fi","Directors: Anthony Russo, Joe Russo | Stars: Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","6 May 2016 (USA)","Country: USA"
"311.","Doctor Strange","7.5","Action, Adventure, Fantasy","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.","(2016)","115 min","585,181","Action, Adventure, Fantasy","Director: Scott Derrickson | Stars: Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong","4 November 2016 (USA)","Country: USA"
"312.","Rome","8.7","Action, Drama, History","A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.","(2005–2007)","52 min","152,233","Action, Drama, History","Stars: Kevin McKidd, Ray Stevenson, Polly Walker, Kerry Condon","TV Series (2005–2007)","Country: UK | USA"
"313.","RED","7.0","Action, Comedy, Crime","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.","(2010)","111 min","286,084","Action, Comedy, Crime","Director: Robert Schwentke | Stars: Bruce Willis, Helen Mirren, Morgan Freeman, Mary-Louise Parker","15 October 2010 (USA)","Country: USA | China"
"314.","Stargate: Atlantis","8.1","Action, Adventure, Drama","An international team of scientists and military personnel discover a Stargate network in the Pegasus Galaxy and come face-to-face with a new, powerful enemy, The Wraith.","(2004–2009)","44 min","60,358","Action, Adventure, Drama","Stars: Joe Flanigan, Rachel Luttrell, David Hewlett, Jason Momoa","TV Series (2004–2009)","Country: Canada | USA"
"315.","King Arthur: Legend of the Sword","6.7","Action, Adventure, Drama","Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.","(2017)","126 min","188,742","Action, Adventure, Drama","Director: Guy Ritchie | Stars: Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou","12 May 2017 (USA)","Country: UK | USA | Australia"
"316.","The Hunt for Red October","7.6","Action, Adventure, Thriller","In November 1984, the Soviet Union's best submarine Captain in their newest sub violates orders and heads for the U.S. Is he trying to defect or to start a war?","(1990)","135 min","176,999","Action, Adventure, Thriller","Director: John McTiernan | Stars: Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill","2 March 1990 (USA)","Language: English | Russian"
"317.","The Fast and the Furious","6.8","Action, Crime, Thriller","Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.","(2001)","106 min","343,270","Action, Crime, Thriller","Director: Rob Cohen | Stars: Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster","22 June 2001 (USA)","Country: USA | Germany"
"318.","One Punch Man","8.8","Animation, Action, Comedy","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","(2015– )","24 min","109,064","Animation, Action, Comedy","Stars: Makoto Furukawa, Kaito Ishikawa, Max Mittelman, Zach Aguilar","TV Series (2015– )","Country: Japan"
"319.","Buffy the Vampire Slayer","5.7","Action, Comedy, Fantasy","Flighty teenage girl Buffy Summers learns that she is her generation's destined battler of vampires.","(1992)","86 min","39,533","Action, Comedy, Fantasy","Director: Fran Rubel Kuzui | Stars: Kristy Swanson, Donald Sutherland, Paul Reubens, Rutger Hauer","31 July 1992 (USA)","Language: English"
"320.","Road House","6.6","Action, Thriller","A tough bouncer is hired to tame a dirty bar.","(1989)","114 min","62,090","Action, Thriller","Director: Rowdy Herrington | Stars: Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara","","Language: English | Portuguese"
"321.","The Mortal Instruments: City of Bones","5.9","Action, Adventure, Fantasy","When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World.","(2013)","130 min","126,891","Action, Adventure, Fantasy","Director: Harald Zwart | Stars: Lily Collins, Jamie Campbell Bower, Robert Sheehan, Jemima West","21 August 2013 (USA)","Country: USA | Germany | Canada | UK"
"322.","Solo: A Star Wars Story","6.9","Action, Adventure, Sci-Fi","During an adventure into the criminal underworld, Han Solo meets his future co-pilot Chewbacca and encounters Lando Calrissian years before joining the Rebellion.","(2018)","135 min","282,071","Action, Adventure, Sci-Fi","Director: Ron Howard | Stars: Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover","25 May 2018 (USA)","Country: USA"
"323.","Terminator Genisys","6.3","Action, Adventure, Sci-Fi","When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.","(2015)","126 min","256,647","Action, Adventure, Sci-Fi","Director: Alan Taylor | Stars: Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney","1 July 2015 (USA)","Country: USA | Canada"
"324.","Strike Back","8.2","Action, Drama, Thriller","Follows the actions of Section 20, a secretive unit of British military intelligence. A team of special operations personnel conduct several high risk missions across the globe.","(2010–2020)","45 min","28,943","Action, Drama, Thriller","Stars: Philip Winchester, Sullivan Stapleton, Michelle Lukes, Daniel MacPherson","TV Series (2010–2020)","Country: UK"
"325.","Ash vs Evil Dead","8.4","Action, Comedy, Fantasy","Ash has spent the last thirty years avoiding responsibility, maturity, and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope.","(2015–2018)","30 min","63,645","Action, Comedy, Fantasy","Stars: Bruce Campbell, Ray Santiago, Dana DeLorenzo, Lucy Lawless","TV Series (2015–2018)","Country: USA"
