"IMBD_id","IMBD_name","IMBD_rate","IMBD_genre","IMBD_detail","IMBD_year","IMBD_time","IMBD_votes","IMBD_rating","IMBD_cast","IMBD_type","IMBD_country"
"151.","SEAL Team","7.5","Action, Drama, War","The lives of the elite Navy SEALs as they train, plan and execute the most dangerous, high-stakes missions our country can ask.","(2017– )","43 min","15,063","TV-14","Stars: David Boreanaz, Max Thieriot, Jessica Paré, Neil Brown Jr.","TV Series (2017– )","Country: USA"
"152.","Overlord","6.6","Action, Adventure, Horror","A small group of American soldiers find horror behind enemy lines on the eve of D-Day.","(2018)","110 min","83,545","R","Director: Julius Avery | Stars: Jovan Adepo, Wyatt Russell, Mathilde Ollivier, Pilou Asbæk","9 November 2018 (USA)","Official Sites: Official Facebook | Official Site | See more »"
"153.","Jurassic Park","8.1","Action, Adventure, Sci-Fi","A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","(1993)","127 min","853,755","PG-13","Director: Steven Spielberg | Stars: Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough","11 June 1993 (USA)","Official Sites: Official Facebook"
"154.","Untitled Spider-Man Sequel","","Action, Adventure, Sci-Fi","A continuation of Spider-Man Far From Home","(2021)","","","","Director: Jon Watts | Stars: Tom Holland, Zendaya, Benedict Cumberbatch, Marisa Tomei","17 December 2021 (USA)","Country: USA"
"155.","Charlie's Angels","4.8","Action, Adventure, Comedy","When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.","(2019)","118 min","53,179","PG-13","Director: Elizabeth Banks | Stars: Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks","15 November 2019 (USA)","Official Sites: Official Facebook | Official Site | See more »"
"156.","Secret Society of Second Born Royals","4.7","Action, Adventure, Comedy","It follows Sam's adventures at a top-secret training program for a new class of second-born royals tasked with saving the world.","(2020)","99 min","2,315","TV-PG","Director: Anna Mastro | Stars: Peyton Elizabeth Lee, Niles Fitch, Isabella Blake-Thomas, Olivia Deeble","25 September 2020 (USA)","Official Sites: Disney+"
"157.","Train to Busan","7.6","Action, Horror, Thriller","While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.","(2016)","118 min","158,121","TV-MA","Director: Sang-ho Yeon | Stars: Yoo Gong, Yu-mi Jung, Dong-seok Ma, Su-an Kim","20 July 2016 (South Korea)","Official Sites: Cannes Film Festival's facebook | Cannes Film Festival's website | See more »"
"158.","Harry Potter and the Order of the Phoenix","7.5","Action, Adventure, Family","With their warning about Lord Voldemort's (Ralph Fiennes') return scoffed at, Harry (Daniel Radcliffe) and Dumbledore (Sir Michael Gambon) are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.","(2007)","138 min","499,795","PG-13","Director: David Yates | Stars: Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson","11 July 2007 (USA)","Official Sites: Official Facebook"
"159.","Altered Carbon","8.0","Action, Drama, Sci-Fi","Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.","(2018–2020)","60 min","137,995","TV-MA","Stars: Chris Conner, Renée Elise Goldsberry, Will Yun Lee, Dichen Lachman","TV Series (2018–2020)","Official Sites: Instagram | Official Facebook | See more »"
"160.","Mission: Impossible 7","","Action, Adventure, Thriller","Seventh entry in the long-running Mission: Impossible series.","(2021)","","","","Director: Christopher McQuarrie | Stars: Rebecca Ferguson, Tom Cruise, Vanessa Kirby, Hayley Atwell","19 November 2021 (USA)","Official Sites: Official Franchise Site"
